Node,Basal_Mean,Basal_Median,Basal_SD,Skew_Basal,Modes_Basal,IL1b_Mean,IL1b_Median,IL1b_SD,Skew_IL1b,Modes_IL1b,p_t_Basal_vs_IL1b,q_t_Basal_vs_IL1b,tstat_Basal_vs_IL1b,p_w_Basal_vs_IL1b,q_w_Basal_vs_IL1b,z_Basal_vs_IL1b,TLR_Mean,TLR_Median,TLR_SD,Skew_TLR,Modes_TLR,p_t_Basal_vs_TLR,q_t_Basal_vs_TLR,tstat_Basal_vs_TLR,p_w_Basal_vs_TLR,q_w_Basal_vs_TLR,z_Basal_vs_TLR,p_t_IL1b_vs_TLR,q_t_IL1b_vs_TLR,tstat_IL1b_vs_TLR,p_w_IL1b_vs_TLR,q_w_IL1b_vs_TLR,z_IL1b_vs_TLR
ACAN,0.9999227174697463,0.9999227140889873,1.7522062249483267e-08,0.28002126484380696,1,6.125299305782953e-05,6.125299305783001e-05,4.6172392950747565e-18,-0.6856250875435844,1,0.0,0.0,804972696.4091045,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.023241909992926607,0.02330663270063157,0.0004382090302378441,-0.4644828653942668,1,0.0,0.0,31440.222863526455,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,-746.2269957213271,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
COL1A,3.978765302025105e-39,1.0843535333882854e-40,1.4696678539032116e-38,5.58104889481049,1,0.999999965742406,0.9999999657424088,2.7893124488408733e-15,1.0080438662230564,1,0.0,0.0,-6.579030164424294e+16,3.38247378314999e-39,2.133560386294609e-38,-13.097955368350206,0.532373359488393,0.5308876843030408,0.010100926254939859,0.4605569850999725,1,0.0,0.0,-743.5011636915693,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,653.0772431158443,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
COL2A,0.9862510452300717,0.9862510363588369,4.5978523775377144e-08,0.28002152304863703,1,0.0001647091104350251,0.00016470911043502614,5.944640197591127e-18,-3.4010835170923577,1,0.0,0.0,302542544.96340203,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,3.6689288385841056e-44,3.668928788529476e-44,2.2137420511709383e-51,0.2467540616718437,1,0.0,0.0,302593079.6016736,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,390856484905577.06,1.4353981991168168e-34,1.472050073080386e-34,12.262752557495276
COL10A1,3.978765144833696e-39,1.0842595482949904e-40,1.4696678233574094e-38,5.581049083211479,1,0.999999965742406,0.9999999657424088,2.7893124488408733e-15,1.0080438662230564,1,0.0,0.0,-6.579030164424294e+16,3.38247378314999e-39,2.133560386294609e-38,-13.097955368350206,0.532373359488393,0.5308876843030408,0.010100926254939859,0.4605569850999725,1,0.0,0.0,-743.5011636915693,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,653.0772431158443,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
TSP-1,0.9999961316104892,0.9999961238665345,3.9244430785066275e-08,0.28022329834206555,1,0.6314424169672583,0.6314424169672576,4.3254142282253477e-14,2.843709716489759,1,0.0,0.0,132479689.00664118,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.6469337699156855,0.6471439286962266,0.001306831012527232,-0.47926148053768164,1,0.0,0.0,3811.0902515103826,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,5.5840864098407803e-216,5.7236885700868e-216,-167.22317110356627,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
TGF-β,0.9234968134633159,0.9245187183222305,0.00484647231892929,-0.3784935624105816,1,0.843322385634639,0.8433223856346383,1.882950851015274e-14,2.782180177558597,1,1.2351555119619844e-244,1.2660343997610341e-244,233.36551026660416,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.8245678994465281,0.8245913519981098,0.0001473931170344596,-0.5348028092169944,1,1.3923296765934445e-264,1.4827406945540579e-264,294.1504360281609,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,1794.958885550399,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
TGFBRI,0.9966600968841481,0.9966923334919544,0.00014859640094180566,-0.2857293341767669,1,0.9910537392630662,0.9910537392630673,1.1974721644004297e-15,1.1568894130978058,1,9.20329882e-316,1.04815348e-315,532.2296251249774,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.9847423247712684,0.9847250912523128,0.00010608061028355966,0.4481976801135565,1,0.0,0.0,1003.8510727514646,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,839.3000158655359,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
BMP,1.7785467566454557e-38,5.384049500746743e-40,6.583519903411039e-38,5.575641853331456,1,0.3683552053374408,0.3683552053374415,4.323364321811502e-14,-2.8545337726868762,1,0.0,0.0,-120192589160218.4,1.4356812623359844e-34,1.472050073080386e-34,-12.262736582564834,0.35240237892564896,0.3521911965614065,0.0013105459138655427,0.47921181502838167,1,0.0,0.0,-3793.2645209256934,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,2.9584639830179337e-218,3.110180084711161e-218,171.71646406253313,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
BMPR,1.509342560296557e-38,4.572912382867977e-40,5.589142918335574e-38,5.595356514739005,1,0.5961027012958768,0.5961027012958751,2.7687017940122258e-14,0.5861830198766704,1,0.0,0.0,-303718639621376.3,1.4352364731039494e-34,1.472050073080386e-34,-12.26276168605499,0.5210444767289225,0.5209107063446732,0.0007556418547530728,0.5853559284750859,1,0.0,0.0,-9727.143647012466,1.4361464127613523e-34,1.4906836183092516e-34,-12.262710338171788,0.0,0.0,1401.2280426374837,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788
GDF5,0.9997692733038553,0.9997692709422867,1.3035344375889294e-08,0.27940933042848165,1,-4.8246812729274104e-30,-4.9572278217129336e-30,9.368393601960775e-31,1.85655452147054,1,0.0,0.0,1081941586.8418713,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.09277445966864946,0.09253369845198076,0.0018801365054407332,0.507939617669061,1,0.0,0.0,6805.248013575013,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,-696.0903128121588,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
ALK6,0.9999922212712338,0.9999922212286663,2.538698426784766e-10,0.24599387784906,1,-4.230426385531711e-29,-4.3508373961979696e-29,8.205142210754242e-30,1.868428597309425,1,0.0,0.0,55566372509.46939,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.06110273113992706,0.06120964167149924,0.0007444216155681498,-0.416575794752279,1,0.0,0.0,17791.88929169051,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,-1157.8923526684578,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
IGF1,0.9999961316104892,0.9999961238665345,3.924443078548616e-08,0.2802232984994751,1,-4.8257463704742314e-30,-4.958352611259647e-30,9.371211537549206e-31,1.856189597555765,1,0.0,0.0,359456899.41140646,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.28189311229598607,0.28086485946083517,0.00790132154111558,0.4997931102994216,1,0.0,0.0,1282.0796969041066,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,6.2178347657246e-311,7.4979772174917e-311,-503.2818483532226,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
IGF1R,0.9999998698738698,0.9999998697348218,7.634902298369405e-10,0.24798223401846095,1,-4.2312913380151815e-29,-4.351785471766182e-29,8.206727657124133e-30,1.8684977519659072,1,0.0,0.0,18476640031.168102,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.14838648583410052,0.14765362980948193,0.004579120530285822,0.5876835705537261,1,0.0,0.0,2623.535374169288,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,1.2566034437627273e-302,1.431131699840884e-302,-457.12904143220493,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
CCN2,0.9839627447539806,0.9839828938991408,9.528183295864e-05,-0.2794502716594616,1,3.3791006451087704e-08,3.3791006452070235e-08,2.1457683044668533e-18,-0.7682704079568192,1,0.0,0.0,145678.37064402635,1.4361464127613523e-34,1.472050073080386e-34,12.262710338171788,0.45998861490811216,0.4614508032635547,0.009948494070250051,-0.46043714483575593,1,0.0,0.0,741.6240406539849,1.4361464127613523e-34,1.4906836183092516e-34,12.262710338171788,0.0,0.0,-652.2532376919879,1.4361464127613523e-34,1.472050073080386e-34,-12.262710338171788
PGRN,1.9053535858137171e-44,1.8995651640282367e-44,1.1077439989913257e-44,-0.033613551146947314,1,-9.195060376261716e-74,-8.939475099658955e-74,5.724706898267148e-74,-0.18643492578592916,1,2.2914617847441613e-61,2.3197514364076694e-61,24.2640176859078,1.0,1.0,0.0,7.088060115751196e-88,7.06652661763306e-88,4.120891812299553e-88,-0.03361358939210208,1,2.2914617847441613e-61,2.3487483293627652e-61,24.2640176859078,1.0,1.0,0.0,5.153825117814851e-57,5.217452588405157e-57,-22.658328426259672,1.0,1.0,0.0
